                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0556,                 2.8997,                 1.4403,                0.90015,                0.72419,                0.82217,                0.59673,                0.91546,                 2.9939,                 1.2657,             0.00021435,             0.00021435,             0.00021435
                      2,                 1.0178,                 1.3791,                 1.3156,                0.76774,                0.92442,                0.90711,                0.59597,                 1.0124,                 1.5652,                 1.3536,             0.00039913,             0.00039913,             0.00039913
                      3,                 1.0479,                 1.2001,                 1.3802,                0.79714,                0.79267,                0.79205,                0.47046,                 1.2223,                 2.4493,                 1.7708,             0.00053865,             0.00053865,             0.00053865
                      4,                 1.0645,                 1.0207,                 1.3497,                0.71064,                0.83688,                0.83492,                 0.5333,                  1.184,                 1.3305,                 1.5641,             0.00063289,             0.00063289,             0.00063289
                      5,                 1.0645,                0.96527,                 1.3247,                0.77823,                0.78889,                0.78078,                0.53807,                 1.0556,                 2.5657,                 1.4598,             0.00068186,             0.00068186,             0.00068186
                      6,                 1.1512,                0.94801,                 1.4405,                0.92371,                0.86686,                0.96214,                0.64717,                 1.0299,                  1.589,                  1.311,             0.00068556,             0.00068556,             0.00068556
                      7,                 1.0119,                0.81314,                 1.3118,                0.90897,                 0.9428,                0.96301,                0.64851,                 1.1295,                 1.0706,                   1.35,             0.00058017,             0.00058017,             0.00058017
                      8,                0.97145,                0.71042,                 1.2653,                0.85045,                0.91478,                0.92878,                0.62131,                 1.0537,                0.86981,                 1.3545,             0.00058017,             0.00058017,             0.00058017
                      9,                 0.9225,                0.70017,                 1.2159,                0.90943,                0.92674,                0.96564,                0.64993,                 1.1425,                0.69899,                 1.4942,              0.0004387,              0.0004387,              0.0004387
                     10,                0.92911,                0.63707,                 1.2354,                0.94993,                0.97222,                0.98647,                0.66806,                  1.093,                0.69776,                 1.3681,             0.00029723,             0.00029723,             0.00029723
